model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
proximal,13,raw_mean,112,0.24354485399382514,pDC,pDC,0.6666666666666669,0.24354485399382514,0.32063758389261743,0.6038863976083707
proximal,13,zscale_mean,112,0.26952067199061697,pDC,pDC,0.6666666666666669,0.26952067199061697,0.32348993288590605,0.6150971599402093
proximal,13,lognorm_mean,112,0.18024388981837625,B,pDC,0.6428571428571429,0.1791572520137296,0.31216442953020135,0.6038863976083707
proximal,13,pseudobulk_cpm,112,0.16854959725408353,B,pDC,0.30952380952380953,0.1426945167911413,0.3036073825503356,0.5971599402092675
proximal,13,depth_matched,112,0.24958173068630665,B,pDC,0.6666666666666669,0.15366438415233627,0.3199664429530201,0.6165919282511211
proximal,13,cpm_mean,112,0.17168877313417388,B,pDC,0.5714285714285715,0.15870086413577797,0.2789429530201342,0.5560538116591929
proximal,13,archr_style,112,0.18024388981837625,B,pDC,0.6428571428571429,0.1791572520137296,0.31216442953020135,0.6038863976083707
proximal,14,raw_mean,112,0.26172447694775514,pDC,pDC,0.9285714285714287,0.26172447694775514,0.311241610738255,0.5837070254110612
proximal,14,zscale_mean,112,0.2819911344153716,pDC,pDC,0.9285714285714287,0.2819911344153716,0.311744966442953,0.5874439461883408
proximal,14,lognorm_mean,112,0.17620780654397433,pDC,pDC,0.7142857142857144,0.17620780654397433,0.31149328859060404,0.6076233183856502
proximal,14,pseudobulk_cpm,112,0.1785708125636028,Mono_CD14,pDC,0.28571428571428575,0.14252203459992754,0.3072986577181208,0.5964125560538116
proximal,14,depth_matched,112,0.21061800369111888,B,pDC,0.5952380952380953,0.15121513703710093,0.2999161073825503,0.594170403587444
proximal,14,cpm_mean,112,0.17413802024940925,B,pDC,0.5000000000000001,0.1540610931921279,0.28691275167785235,0.5597907324364724
proximal,14,archr_style,112,0.17620780654397433,pDC,pDC,0.7142857142857144,0.17620780654397433,0.31149328859060404,0.6076233183856502
proximal,15,raw_mean,112,0.27655794539213824,pDC,pDC,0.9523809523809524,0.27655794539213824,0.29966442953020134,0.5807174887892377
proximal,15,zscale_mean,112,0.29596219190368594,pDC,pDC,0.9523809523809524,0.29596219190368594,0.30075503355704697,0.5807174887892377
proximal,15,lognorm_mean,112,0.19186918950618348,B,pDC,0.7619047619047621,0.1822791796746986,0.31140939597315437,0.5949177877428998
proximal,15,pseudobulk_cpm,112,0.18377977473825827,B,pDC,0.5714285714285715,0.15902858029908412,0.30964765100671143,0.5852017937219731
proximal,15,depth_matched,112,0.2480638874036256,B,pDC,0.7380952380952381,0.156682822498577,0.3150167785234899,0.6098654708520179
proximal,15,cpm_mean,112,0.18733290787726167,B,pDC,0.7142857142857144,0.1630129189161219,0.286744966442953,0.5665171898355755
proximal,15,archr_style,112,0.19186918950618348,B,pDC,0.7619047619047621,0.1822791796746986,0.31140939597315437,0.5949177877428998
proximal,16,raw_mean,112,0.2621039377684254,pDC,pDC,0.9047619047619048,0.2621039377684254,0.3214765100671141,0.5926756352765321
proximal,16,zscale_mean,112,0.2851820549528261,pDC,pDC,0.9047619047619048,0.2851820549528261,0.32156040268456376,0.5994020926756353
proximal,16,lognorm_mean,112,0.17755316763544163,pDC,pDC,0.7065994945288228,0.17755316763544163,0.3130872483221476,0.5956651718983558
proximal,16,pseudobulk_cpm,112,0.16915328492333168,B,pDC,0.07142857142857144,0.14131465926143125,0.30511744966442955,0.5769805680119582
proximal,16,depth_matched,112,0.23735274332925124,B,pDC,0.7380952380952381,0.15176708004898495,0.3175335570469799,0.601644245142003
proximal,16,cpm_mean,112,0.17527640271142006,B,pDC,0.4761904761904762,0.15473377373786157,0.2813758389261745,0.5433482810164425
proximal,16,archr_style,112,0.17755316763544163,pDC,pDC,0.7065994945288228,0.17755316763544163,0.3130872483221476,0.5956651718983558
proximal,17,raw_mean,112,0.28269831139934803,pDC,pDC,0.9285714285714287,0.28269831139934803,0.30075503355704697,0.5695067264573991
proximal,17,zscale_mean,112,0.30277523845662935,pDC,pDC,0.9285714285714287,0.30277523845662935,0.30151006711409395,0.5754857997010463
proximal,17,lognorm_mean,112,0.19664694620280457,B,pDC,0.8571428571428572,0.18415923555892855,0.3070469798657718,0.5994020926756353
proximal,17,pseudobulk_cpm,112,0.18848853855839384,B,pDC,0.7619047619047621,0.15832140331510772,0.3080536912751678,0.5926756352765321
proximal,17,depth_matched,112,0.2573606775100471,B,pDC,0.880952380952381,0.15973575728306053,0.30964765100671143,0.593423019431988
proximal,17,cpm_mean,112,0.19247287717543163,B,pDC,0.8333333333333335,0.16006347344636665,0.2825503355704698,0.5582959641255605
proximal,17,archr_style,112,0.19664694620280457,B,pDC,0.8571428571428572,0.18415923555892855,0.3070469798657718,0.5994020926756353
proximal,18,raw_mean,112,0.2559290753229729,pDC,pDC,0.8095238095238096,0.2559290753229729,0.31786912751677854,0.5896860986547086
proximal,18,zscale_mean,112,0.27919692291770876,pDC,pDC,0.8095238095238096,0.27919692291770876,0.3176174496644295,0.5904334828101644
proximal,18,lognorm_mean,112,0.17782913914138365,pDC,pDC,0.5476190476190477,0.17782913914138365,0.31451342281879197,0.6038863976083707
proximal,18,pseudobulk_cpm,112,0.17563861531296893,B,pDC,-0.07142857142857144,0.14393638856788038,0.3067953020134228,0.5971599402092675
proximal,18,depth_matched,112,0.237387239767494,B,pDC,0.8571428571428572,0.15331941976990876,0.31476510067114094,0.6083707025411061
proximal,18,cpm_mean,112,0.1795022163961571,B,pDC,0.2380952380952381,0.15587215619987235,0.28624161073825505,0.5590433482810164
proximal,18,archr_style,112,0.17782913914138365,pDC,pDC,0.5476190476190477,0.17782913914138365,0.31451342281879197,0.6038863976083707
proximal,19,raw_mean,112,0.25325560135915964,pDC,pDC,0.9285714285714287,0.25325560135915964,0.32273489932885907,0.6121076233183856
proximal,19,zscale_mean,112,0.2757817755316764,pDC,pDC,0.9285714285714287,0.2757817755316764,0.32248322147651004,0.6143497757847534
proximal,19,lognorm_mean,112,0.18079583283026027,B,pDC,0.7619047619047621,0.17475895613777878,0.3111577181208054,0.6031390134529148
proximal,19,pseudobulk_cpm,112,0.17172326957241665,B,pDC,0.261904761904762,0.14626489814926608,0.3105704697986577,0.5889387144992526
proximal,19,depth_matched,112,0.2467702709695224,B,pDC,0.8333333333333335,0.14828293978646706,0.3194630872483222,0.6158445440956651
proximal,19,cpm_mean,112,0.1779498766752333,B,pDC,0.6428571428571429,0.15695879400451904,0.2889261744966443,0.5680119581464873
proximal,19,archr_style,112,0.18079583283026027,B,pDC,0.7619047619047621,0.17475895613777878,0.3111577181208054,0.6031390134529148
enhancer,0,raw_mean,112,0.36575914649489205,pDC,pDC,0.7380952380952381,0.36575914649489205,0.3195617028920424,0.6032921810699589
enhancer,0,zscale_mean,112,0.3663630416184389,pDC,pDC,0.7380952380952381,0.3663630416184389,0.31920244296748695,0.6049382716049383
enhancer,0,lognorm_mean,112,0.1943032560012078,pDC,pDC,0.38095238095238104,0.1943032560012078,0.3190228130052093,0.6263374485596708
enhancer,0,pseudobulk_cpm,112,0.1663227819435358,pDC,pDC,0.19047619047619052,0.1663227819435358,0.31965151787318125,0.6090534979423868
enhancer,0,depth_matched,112,0.1880630063912234,pDC,pDC,0.6904761904761906,0.1880630063912234,0.3191126279863481,0.6279835390946502
enhancer,0,cpm_mean,112,0.1615419455487897,pDC,pDC,0.2142857142857143,0.1615419455487897,0.30402371115502064,0.6082304526748972
enhancer,0,archr_style,112,0.19420260681395,pDC,pDC,0.38095238095238104,0.19420260681395,0.3190228130052093,0.6263374485596708
enhancer,1,raw_mean,112,0.4221226913592673,pDC,pDC,0.8095238095238096,0.4221226913592673,0.3310580204778157,0.6386831275720165
enhancer,1,zscale_mean,112,0.42177041920386493,pDC,pDC,0.8095238095238096,0.42177041920386493,0.3312376504400934,0.6386831275720165
enhancer,1,lognorm_mean,112,0.19314579034774293,pDC,pDC,0.3333333333333334,0.19314579034774293,0.3164181785521825,0.6395061728395062
