model,method,corr,cell_type,n_test,recall,confusion
proximal,archr_style,spearman,Mono_CD16,221,0.995475113122172,B:0; DC:1; Mono_CD14:0; Mono_CD16:220; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,archr_style,spearman,NK,341,0.9120234604105572,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:311; T_CD4:6; T_CD8:24; pDC:0
proximal,archr_style,spearman,T_CD4,1771,0.9153020892151327,B:0; DC:0; Mono_CD14:4; Mono_CD16:0; NK:29; T_CD4:1621; T_CD8:117; pDC:0
proximal,archr_style,spearman,T_CD8,1137,0.6754617414248021,B:0; DC:0; Mono_CD14:2; Mono_CD16:0; NK:338; T_CD4:29; T_CD8:768; pDC:0
proximal,archr_style,spearman,pDC,56,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:56
enhancer,raw_mean,pearson,B,397,1.0,B:397; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
enhancer,raw_mean,pearson,DC,111,0.8828828828828829,B:0; DC:98; Mono_CD14:9; Mono_CD16:0; NK:1; T_CD4:0; T_CD8:3; pDC:0
enhancer,raw_mean,pearson,Mono_CD14,1572,0.9236641221374046,B:7; DC:10; Mono_CD14:1452; Mono_CD16:38; NK:37; T_CD4:16; T_CD8:8; pDC:4
enhancer,raw_mean,pearson,Mono_CD16,221,0.9457013574660633,B:1; DC:1; Mono_CD14:9; Mono_CD16:209; NK:0; T_CD4:1; T_CD8:0; pDC:0
enhancer,raw_mean,pearson,NK,341,0.8621700879765396,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:294; T_CD4:20; T_CD8:27; pDC:0
enhancer,raw_mean,pearson,T_CD4,1771,0.9525691699604744,B:1; DC:1; Mono_CD14:1; Mono_CD16:0; NK:5; T_CD4:1687; T_CD8:72; pDC:4
enhancer,raw_mean,pearson,T_CD8,1137,0.673702726473175,B:1; DC:0; Mono_CD14:1; Mono_CD16:0; NK:298; T_CD4:70; T_CD8:766; pDC:1
enhancer,raw_mean,pearson,pDC,56,0.9107142857142857,B:0; DC:2; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:1; T_CD8:2; pDC:51
enhancer,raw_mean,spearman,B,397,1.0,B:397; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
enhancer,raw_mean,spearman,DC,111,0.7657657657657657,B:1; DC:85; Mono_CD14:3; Mono_CD16:17; NK:1; T_CD4:0; T_CD8:4; pDC:0
enhancer,raw_mean,spearman,Mono_CD14,1572,0.36895674300254455,B:7; DC:4; Mono_CD14:580; Mono_CD16:916; NK:32; T_CD4:14; T_CD8:16; pDC:3
enhancer,raw_mean,spearman,Mono_CD16,221,0.9773755656108597,B:2; DC:0; Mono_CD14:2; Mono_CD16:216; NK:0; T_CD4:0; T_CD8:1; pDC:0
enhancer,raw_mean,spearman,NK,341,0.7565982404692082,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:258; T_CD4:12; T_CD8:71; pDC:0
enhancer,raw_mean,spearman,T_CD4,1771,0.9090909090909091,B:1; DC:0; Mono_CD14:5; Mono_CD16:0; NK:0; T_CD4:1610; T_CD8:154; pDC:1
enhancer,raw_mean,spearman,T_CD8,1137,0.7642919964819701,B:1; DC:0; Mono_CD14:2; Mono_CD16:0; NK:232; T_CD4:33; T_CD8:869; pDC:0
enhancer,raw_mean,spearman,pDC,56,0.9107142857142857,B:1; DC:2; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:2; pDC:51
enhancer,zscale_mean,pearson,B,397,0.9874055415617129,B:392; DC:0; Mono_CD14:0; Mono_CD16:0; NK:5; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,pearson,DC,111,0.954954954954955,B:0; DC:106; Mono_CD14:0; Mono_CD16:0; NK:5; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,pearson,Mono_CD14,1572,0.013358778625954198,B:8; DC:1482; Mono_CD14:21; Mono_CD16:0; NK:56; T_CD4:5; T_CD8:0; pDC:0
enhancer,zscale_mean,pearson,Mono_CD16,221,0.0,B:1; DC:219; Mono_CD14:0; Mono_CD16:0; NK:1; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,pearson,NK,341,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:341; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,pearson,T_CD4,1771,0.528514963297572,B:0; DC:5; Mono_CD14:0; Mono_CD16:0; NK:830; T_CD4:936; T_CD8:0; pDC:0
enhancer,zscale_mean,pearson,T_CD8,1137,0.005277044854881266,B:0; DC:2; Mono_CD14:0; Mono_CD16:0; NK:910; T_CD4:219; T_CD8:6; pDC:0
enhancer,zscale_mean,pearson,pDC,56,0.8392857142857143,B:0; DC:3; Mono_CD14:0; Mono_CD16:0; NK:6; T_CD4:0; T_CD8:0; pDC:47
enhancer,zscale_mean,spearman,B,397,0.982367758186398,B:390; DC:0; Mono_CD14:0; Mono_CD16:0; NK:7; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,spearman,DC,111,0.918918918918919,B:1; DC:102; Mono_CD14:0; Mono_CD16:0; NK:8; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,spearman,Mono_CD14,1572,0.002544529262086514,B:12; DC:1486; Mono_CD14:4; Mono_CD16:0; NK:70; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,spearman,Mono_CD16,221,0.0,B:2; DC:216; Mono_CD14:0; Mono_CD16:0; NK:2; T_CD4:0; T_CD8:0; pDC:1
enhancer,zscale_mean,spearman,NK,341,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:341; T_CD4:0; T_CD8:0; pDC:0
enhancer,zscale_mean,spearman,T_CD4,1771,0.006211180124223602,B:1; DC:5; Mono_CD14:0; Mono_CD16:0; NK:1754; T_CD4:11; T_CD8:0; pDC:0
enhancer,zscale_mean,spearman,T_CD8,1137,0.0,B:0; DC:2; Mono_CD14:0; Mono_CD16:0; NK:1133; T_CD4:2; T_CD8:0; pDC:0
enhancer,zscale_mean,spearman,pDC,56,0.8035714285714286,B:0; DC:3; Mono_CD14:0; Mono_CD16:0; NK:8; T_CD4:0; T_CD8:0; pDC:45
enhancer,lognorm_mean,pearson,B,397,1.0,B:397; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
enhancer,lognorm_mean,pearson,DC,111,0.8468468468468469,B:0; DC:94; Mono_CD14:14; Mono_CD16:0; NK:1; T_CD4:0; T_CD8:2; pDC:0
enhancer,lognorm_mean,pearson,Mono_CD14,1572,0.9236641221374046,B:7; DC:9; Mono_CD14:1452; Mono_CD16:44; NK:33; T_CD4:14; T_CD8:9; pDC:4
enhancer,lognorm_mean,pearson,Mono_CD16,221,0.9502262443438914,B:1; DC:0; Mono_CD14:10; Mono_CD16:210; NK:0; T_CD4:0; T_CD8:0; pDC:0
enhancer,lognorm_mean,pearson,NK,341,0.8387096774193549,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:286; T_CD4:12; T_CD8:43; pDC:0
enhancer,lognorm_mean,pearson,T_CD4,1771,0.9277244494635799,B:1; DC:4; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:1643; T_CD8:121; pDC:2
enhancer,lognorm_mean,pearson,T_CD8,1137,0.7194371152154794,B:1; DC:1; Mono_CD14:0; Mono_CD16:0; NK:282; T_CD4:34; T_CD8:818; pDC:1
enhancer,lognorm_mean,pearson,pDC,56,0.9642857142857143,B:0; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:1; pDC:54
enhancer,lognorm_mean,spearman,B,397,1.0,B:397; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
enhancer,lognorm_mean,spearman,DC,111,0.7657657657657657,B:1; DC:85; Mono_CD14:18; Mono_CD16:2; NK:1; T_CD4:0; T_CD8:4; pDC:0
enhancer,lognorm_mean,spearman,Mono_CD14,1572,0.8759541984732825,B:9; DC:3; Mono_CD14:1377; Mono_CD16:120; NK:29; T_CD4:15; T_CD8:16; pDC:3
enhancer,lognorm_mean,spearman,Mono_CD16,221,0.9592760180995475,B:2; DC:0; Mono_CD14:6; Mono_CD16:212; NK:0; T_CD4:0; T_CD8:1; pDC:0
enhancer,lognorm_mean,spearman,NK,341,0.7331378299120235,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:250; T_CD4:11; T_CD8:80; pDC:0
enhancer,lognorm_mean,spearman,T_CD4,1771,0.911914172783738,B:1; DC:4; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:1615; T_CD8:149; pDC:1
enhancer,lognorm_mean,spearman,T_CD8,1137,0.7783641160949868,B:1; DC:1; Mono_CD14:1; Mono_CD16:0; NK:217; T_CD4:32; T_CD8:885; pDC:0
