12:56:39 total_rss_GB=24.22 n_jobs=3
12:56:49 total_rss_GB=29.55 n_jobs=3
12:56:59 total_rss_GB=31.48 n_jobs=3
12:57:09 total_rss_GB=32.10 n_jobs=3
13:25:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:25:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:26:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:40 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:50 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:27:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:00 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:10 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:20 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:21 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:30 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:28:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:21 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:21 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:29:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:21 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:21 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:41 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:30:51 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:01 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:11 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:21 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:22 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:31 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:31:32 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
