cohort,mixture_variant,geneset,method,truth,rmse_mean,rmse_sd,r_mean,r_sd,bias_deepest_mean,bias_deepest_sd,deepest_type,n_genes_mean,n_degenerate
HCC,cellnorm,common,cpm_mean,fragfrac,0.0799240869255012,0.015305214054172156,0.8458539463030322,0.0559008332893599,-0.09494536268281745,0.01566182970066071,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,depth_matched,cellfrac,0.03458057956436339,0.007792109816064206,0.9694743420049177,0.012079034043717943,-0.013617247161218496,0.00880732181514534,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,depth_matched,fragfrac,0.0764281225268596,0.008720345445006208,0.8618882420490935,0.031166039674585956,-0.10013581631980988,0.0180403372482245,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,lognorm_mean,cellfrac,0.03968855260455378,0.0028671265438251817,0.9619398091603001,0.005136465077599941,-0.013002368354072464,0.006334409827440178,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,lognorm_mean,fragfrac,0.06994200738847987,0.007203720776228032,0.8883542079513495,0.024614611211824414,-0.09952093751266385,0.016514903061445534,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,lognorm_mean_expm1,cellfrac,0.03331027607340612,0.005778602841046041,0.9719382232260397,0.008499370988265968,-0.015461331804394659,0.006317951136158332,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,lognorm_mean_expm1,fragfrac,0.07425961564077832,0.00694013112830394,0.8706241619233993,0.024591802591625214,-0.10197990096298605,0.016548724745125806,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,pseudobulk_cpm,cellfrac,0.036055958162021,0.005148120528271061,0.9686477261442388,0.006752430373991519,-0.009115821713595589,0.0038698215802515424,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,pseudobulk_cpm,fragfrac,0.0667396461799903,0.0027188605565873977,0.8991429882701647,0.009988069580785689,-0.09563439087218696,0.013547209732373847,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,raw_mean,cellfrac,0.06285084611303206,0.005541397086628583,0.907391921622762,0.02081704370189227,-0.07491545698049147,0.010186443164426458,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,raw_mean,fragfrac,0.11460170408758548,0.0075534664072967736,0.7079350264405763,0.045569011024517186,-0.1614340261390829,0.020017007041152984,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,zscale_mean,cellfrac,0.17645977305383234,0.0024920705625167193,0.17560109327052487,0.02956794860937155,-0.014429655666767455,0.021544744952478385,Endothelial_stromal,1200.0,0
HCC,cellnorm,common,zscale_mean,fragfrac,0.18700424249394043,0.003911942839682317,0.13896345315648315,0.025614185717325266,-0.10094822482535883,0.03168534483568303,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,cpm_mean,cellfrac,0.04156257522831909,0.01460125928645672,0.9527942626509294,0.028184975062420826,-0.008426793524226027,0.006566147261991629,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,cpm_mean,fragfrac,0.0799240869255012,0.015305214054172156,0.8458539463030322,0.0559008332893599,-0.09494536268281745,0.01566182970066071,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,depth_matched,cellfrac,0.03344312610014594,0.009888271896148588,0.9714343679175533,0.01560195816447442,-0.01301150860009675,0.006626307732348115,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,depth_matched,fragfrac,0.07603304153506725,0.007529533527655504,0.8637262219200643,0.026247683822615896,-0.09953007775868818,0.015437778067631339,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,lognorm_mean,cellfrac,0.02973800084596957,0.004581237219888454,0.9777449017905449,0.0064252048802724915,-0.011854189684102836,0.005672894365120112,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,lognorm_mean,fragfrac,0.07054142352685376,0.007125215854322237,0.8849123997091198,0.023303700215289318,-0.09837275884269424,0.014441569511102035,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,lognorm_mean_expm1,cellfrac,0.030010404182690114,0.00650636031583361,0.9776717732010239,0.008182197315275194,-0.015259431855449528,0.0019053655458685518,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,lognorm_mean_expm1,fragfrac,0.07513992068324722,0.005583257400625458,0.8675950393196672,0.019520147585014774,-0.10177800101404094,0.01204967775156133,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,pseudobulk_cpm,cellfrac,0.03288268237961016,0.003715989419804552,0.9740034974448055,0.005041119450089387,-0.007931698020806262,0.0014184133390928323,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,pseudobulk_cpm,fragfrac,0.06363500610234593,0.0009017982132286247,0.9087802334210374,0.002458302066016566,-0.09445026717939768,0.009690922326539918,Endothelial_stromal,1200.0,0
HCC,cellnorm,own,raw_mean,cellfrac,0.05560572152158479,0.006406812861222132,0.9285576900365232,0.018987332807764545,-0.07439546386674604,0.009419351541711236,Endothelial_stromal,1200.0,0
