cohort,seed,mixture_variant,geneset,method,truth,n_genes,rmse,pearson_r,n_degenerate,deepest_type,bias_deepest,max_abs_bias_type,max_abs_bias,bias__B_cell,bias__CD4_T,bias__Endothelial_stromal,bias__Hepatocyte,bias__Macrophage,bias__NK_cytotoxic_T,bias__Endothelial,bias__Epithelial,bias__Fibroblast,bias__Mast,bias__Other_Myeloid,bias__T_NK
HCC,1,rawsum,common,depth_matched,fragfrac,1200,0.03930441227171008,0.9690732202957332,0,Endothelial_stromal,-0.014684075692072071,CD4_T,0.04068615486410041,-0.03266174024862797,0.04068615486410041,-0.014684075692072071,0.0106242826640814,0.008160399854124723,-0.012125021441606503,,,,,,
HCC,1,rawsum,common,cpm_mean,cellfrac,1200,0.0591912157280776,0.907879635360952,0,Endothelial_stromal,0.07533117870446078,Endothelial_stromal,0.07533117870446078,-0.02204697292210235,-0.018482905748397838,0.07533117870446078,0.0341580483097216,-0.030991876261640076,-0.03796747208204207,,,,,,
HCC,1,rawsum,common,cpm_mean,fragfrac,1200,0.03890908164503977,0.9700791456362022,0,Endothelial_stromal,-0.008975081383947333,B_cell,0.03869986479670297,-0.03869986479670297,0.03438472656185912,-0.008975081383947333,0.015226295917130364,0.009109924416537489,-0.011046000714876707,,,,,,
HCC,1,rawsum,own,raw_mean,cellfrac,1200,0.02762674437478488,0.9806536281681375,0,Endothelial_stromal,-0.014394591671820106,CD4_T,0.017019283530224864,-0.011876678075279196,0.017019283530224864,-0.014394591671820106,0.010570887636995978,0.010555254980943191,-0.011874156401064722,,,,,,
HCC,1,rawsum,own,raw_mean,fragfrac,1200,0.07057345750009156,0.8831985391268062,0,Endothelial_stromal,-0.0987008517602282,Endothelial_stromal,0.0987008517602282,-0.028529569949879777,0.06988691584048184,-0.0987008517602282,-0.008360864755595257,0.050657055659120764,0.015047314966100652,,,,,,
HCC,1,rawsum,own,zscale_mean,cellfrac,1200,0.20769023819383325,0.050194838402599466,0,Endothelial_stromal,0.001635376711307633,NK_cytotoxic_T,0.348403424749998,-0.11086242823383984,-0.15524,0.001635376711307633,-0.03673864858570815,-0.047197724641757643,0.348403424749998,,,,,,
HCC,1,rawsum,own,zscale_mean,fragfrac,1200,0.2156367604887687,0.034705270443222094,0,Endothelial_stromal,-0.08267088337710049,NK_cytotoxic_T,0.3753248961171634,-0.12751532010844044,-0.10237236768974307,-0.08267088337710049,-0.055670400978299374,-0.007095923963580068,0.3753248961171634,,,,,,
HCC,1,rawsum,own,lognorm_mean,cellfrac,1200,0.05443326053467314,0.9245976013340343,0,Endothelial_stromal,0.07219733838478377,Endothelial_stromal,0.07219733838478377,-0.014627368654138415,-0.04271044901657925,0.07219733838478377,0.034428966562439337,-0.024676569509940842,-0.024611917766564576,,,,,,
HCC,1,rawsum,own,lognorm_mean,fragfrac,1200,0.029368583252319422,0.9822235125831487,0,Endothelial_stromal,-0.012108921703624305,B_cell,0.03128026052873902,-0.03128026052873902,0.010157183293677713,-0.012108921703624305,0.015497214169848093,0.015425231168236742,0.0023095536006007907,,,,,,
HCC,1,rawsum,own,lognorm_mean_expm1,cellfrac,1200,0.049111028771877806,0.937481386163515,0,Endothelial_stromal,0.06097251607692193,Endothelial_stromal,0.06097251607692193,-0.02164487224440159,-0.006057537205592538,0.06097251607692193,0.024129070662542284,-0.028970583036214963,-0.02842859425325518,,,,,,
