cohort,seed,cell_type,rank,gene
HCC,0,CD4_T,110,FTH1P21
HCC,0,CD4_T,111,HSPA8P9
HCC,0,CD4_T,112,CTB-31N19.3
HCC,0,CD4_T,113,CTD-2302E22.1
HCC,0,CD4_T,114,CTSLP2
HCC,0,CD4_T,115,RP13-461N9.2
HCC,0,CD4_T,116,C1QL1P1
HCC,0,CD4_T,117,CTB-85C5.1
HCC,0,CD4_T,118,RNU6-126P
HCC,0,CD4_T,119,RNU6-198P
HCC,0,CD4_T,120,KRTAP10-11
HCC,0,CD4_T,121,RP11-98J23.1
HCC,0,CD4_T,122,RP11-451H23.1
HCC,0,CD4_T,123,HERC2P4
HCC,0,CD4_T,124,SNORD116-29
HCC,0,CD4_T,125,CTC-512J12.7
HCC,0,CD4_T,126,RPL5P5
HCC,0,CD4_T,127,RP11-583F2.1
HCC,0,CD4_T,128,RPL36AP16
HCC,0,CD4_T,129,OR10A7
HCC,0,CD4_T,130,RP5-1181K21.4
HCC,0,CD4_T,131,OR51Q1
HCC,0,CD4_T,132,CH17-262O2.2
HCC,0,CD4_T,133,EIF4BP4
HCC,0,CD4_T,134,RPS29P21
HCC,0,CD4_T,135,BNIP3P9
HCC,0,CD4_T,136,LLNLR-304A6.1
HCC,0,CD4_T,137,MIR4708
HCC,0,CD4_T,138,RP11-126O22.8
HCC,0,CD4_T,139,RP11-1299A16.1
HCC,0,CD4_T,140,AP000248.1
HCC,0,CD4_T,141,RP11-555G19.2
HCC,0,CD4_T,142,AA06
HCC,0,CD4_T,143,RPS2P48
HCC,0,CD4_T,144,SCARNA18
HCC,0,CD4_T,145,RANBP1P1
HCC,0,CD4_T,146,AC016831.5
HCC,0,CD4_T,147,CTC-470E21.1
HCC,0,CD4_T,148,RNU2-56P
HCC,0,CD4_T,149,PRODH
HCC,0,CD4_T,150,RNU1-28P
HCC,0,CD4_T,151,RN7SKP79
HCC,0,CD4_T,152,SEPTIN7P1
HCC,0,CD4_T,153,VTI1BP4
HCC,0,CD4_T,154,MIR6728
HCC,0,CD4_T,155,PPIAP4
HCC,0,CD4_T,156,RNU5B-4P
HCC,0,CD4_T,157,RNA5SP493
HCC,0,CD4_T,158,MIR6752
HCC,0,CD4_T,159,KRT8P49
HCC,0,CD4_T,160,PGA3
HCC,0,CD4_T,161,RNU6-497P
HCC,0,CD4_T,162,RP11-57K16.1
HCC,0,CD4_T,163,TRAV13-1
HCC,0,CD4_T,164,TRBV7-4
HCC,0,CD4_T,165,ENSG10010134592.1
HCC,0,CD4_T,166,AC006989.2
HCC,0,CD4_T,167,CICP3
HCC,0,CD4_T,168,RNU6-1159P
HCC,0,CD4_T,169,RNU4-70P
HCC,0,CD4_T,170,SNORD18C
HCC,0,CD4_T,171,RPL32P28
HCC,0,CD4_T,172,RP11-32A1.2
HCC,0,CD4_T,173,CORO1CP1
HCC,0,CD4_T,174,SCARNA4
HCC,0,CD4_T,175,RP11-299P2.1
HCC,0,CD4_T,176,PPIAP29
HCC,0,CD4_T,177,MIR516B1
HCC,0,CD4_T,178,RN7SL673P
HCC,0,CD4_T,179,MIR766
HCC,0,CD4_T,180,RN7SL740P
HCC,0,CD4_T,181,LINC02591
HCC,0,CD4_T,182,RNA5SP356
HCC,0,CD4_T,183,OR52I1
HCC,0,CD4_T,184,RNA5SP168
HCC,0,CD4_T,185,RNU6-326P
HCC,0,CD4_T,186,RPSAP28
HCC,0,CD4_T,187,RP11-536P16.4
HCC,0,CD4_T,188,RP11-1102P22.2
HCC,0,CD4_T,189,RP1-73A14.1
HCC,0,CD4_T,190,COX6B1P3
HCC,0,CD4_T,191,ENSG00000265421
HCC,0,CD4_T,192,RP1-39G22.4
HCC,0,CD4_T,193,ZBED2
HCC,0,CD4_T,194,RP11-470P21.2
HCC,0,CD4_T,195,HIGD1AP15
HCC,0,CD4_T,196,IGHV3OR16-15
HCC,0,CD4_T,197,SNORD96B
HCC,0,CD4_T,198,CARD17
HCC,0,CD4_T,199,RP11-436A7.1
HCC,0,CD4_T,200,RNA5SP159
HCC,0,Endothelial_stromal,1,CLEC14A
HCC,0,Endothelial_stromal,2,RP11-212E4.1
HCC,0,Endothelial_stromal,3,C2CD4B
HCC,0,Endothelial_stromal,4,RP11-95F22.1
HCC,0,Endothelial_stromal,5,MIR199A2
HCC,0,Endothelial_stromal,6,COX5BP2
HCC,0,Endothelial_stromal,7,OR4G1P
HCC,0,Endothelial_stromal,8,CLDN5
HCC,0,Endothelial_stromal,9,AC000050.1
HCC,0,Endothelial_stromal,10,PABPC4L
HCC,0,Endothelial_stromal,11,RP11-142J21.1
HCC,0,Endothelial_stromal,12,GS1-345D13.1
HCC,0,Endothelial_stromal,13,RPS20P4
HCC,0,Endothelial_stromal,14,DNM3OS
HCC,0,Endothelial_stromal,15,SOX18
HCC,0,Endothelial_stromal,16,AC000082.4
HCC,0,Endothelial_stromal,17,RP11-191A15.2
HCC,0,Endothelial_stromal,18,SLC25A5P7
HCC,0,Endothelial_stromal,19,ENSG10010138723.1
HCC,0,Endothelial_stromal,20,HOXD8
HCC,0,Endothelial_stromal,21,CYCSP26
HCC,0,Endothelial_stromal,22,MIR4299
HCC,0,Endothelial_stromal,23,MIR7849
HCC,0,Endothelial_stromal,24,MIR8089
HCC,0,Endothelial_stromal,25,LINC02530
HCC,0,Endothelial_stromal,26,MIR542
HCC,0,Endothelial_stromal,27,RNA5SP390
HCC,0,Endothelial_stromal,28,ENPP7P12
HCC,0,Endothelial_stromal,29,RP4-736I12.1
HCC,0,Endothelial_stromal,30,ENSG10010138144.1
HCC,0,Endothelial_stromal,31,RP11-182E7.1
HCC,0,Endothelial_stromal,32,KDR
HCC,0,Endothelial_stromal,33,RFPL3
HCC,0,Endothelial_stromal,34,RNU2-21P
HCC,0,Endothelial_stromal,35,OR2AS2P
HCC,0,Endothelial_stromal,36,RP11-53M11.5
HCC,0,Endothelial_stromal,37,ENSG10010136563.1
HCC,0,Endothelial_stromal,38,YAP1P2
HCC,0,Endothelial_stromal,39,RNU6-1298P
HCC,0,Endothelial_stromal,40,RP11-6L6.7
HCC,0,Endothelial_stromal,41,PCDH17
HCC,0,Endothelial_stromal,42,NBEAP3
HCC,0,Endothelial_stromal,43,PTP4A2P2
HCC,0,Endothelial_stromal,44,RPL21P135
HCC,0,Endothelial_stromal,45,CYP4F62P
HCC,0,Endothelial_stromal,46,RP1-144F13.3
HCC,0,Endothelial_stromal,47,RP11-564C24.2
HCC,0,Endothelial_stromal,48,HOXD-AS2
HCC,0,Endothelial_stromal,49,RNU6-394P
HCC,0,Endothelial_stromal,50,AC006158.7
HCC,0,Endothelial_stromal,51,TSPY7P
HCC,0,Endothelial_stromal,52,HAGLROS
HCC,0,Endothelial_stromal,53,RPL36AP14
HCC,0,Endothelial_stromal,54,RNA5SP481
HCC,0,Endothelial_stromal,55,GJA4
HCC,0,Endothelial_stromal,56,RP11-540O11.8
HCC,0,Endothelial_stromal,57,ZNF454-DT
HCC,0,Endothelial_stromal,58,LINC02310
HCC,0,Endothelial_stromal,59,OR7L1P
HCC,0,Endothelial_stromal,60,AC004870.5
HCC,0,Endothelial_stromal,61,RP11-227D13.1
HCC,0,Endothelial_stromal,62,RP11-513O13.1
HCC,0,Endothelial_stromal,63,RP11-252P19.2
HCC,0,Endothelial_stromal,64,RPS15AP7
HCC,0,Endothelial_stromal,65,APLNR
HCC,0,Endothelial_stromal,66,LINC00453
HCC,0,Endothelial_stromal,67,CTD-2373N4.5
HCC,0,Endothelial_stromal,68,SMG6-IT1
HCC,0,Endothelial_stromal,69,RP11-27M24.2
HCC,0,Endothelial_stromal,70,RP13-152O15.5
HCC,0,Endothelial_stromal,71,RP11-314N13.9
HCC,0,Endothelial_stromal,72,SUMO2P2
HCC,0,Endothelial_stromal,73,C11orf96
HCC,0,Endothelial_stromal,74,RP4-808A1.1
HCC,0,Endothelial_stromal,75,MAGEB5
HCC,0,Endothelial_stromal,76,ID4
HCC,0,Endothelial_stromal,77,HOXA2
HCC,0,Endothelial_stromal,78,RNA5SP289
HCC,0,Endothelial_stromal,79,HOXD9
HCC,0,Endothelial_stromal,80,RP11-95G6.1
HCC,0,Endothelial_stromal,81,MIR3668
HCC,0,Endothelial_stromal,82,RP11-168P8.3
HCC,0,Endothelial_stromal,83,RBMX2P3
HCC,0,Endothelial_stromal,84,AC005609.18
HCC,0,Endothelial_stromal,85,RP11-207D10.1
HCC,0,Endothelial_stromal,86,SOX17
HCC,0,Endothelial_stromal,87,RP11-530I17.1
HCC,0,Endothelial_stromal,88,RPL36AP13
HCC,0,Endothelial_stromal,89,RP1-18D14.7
HCC,0,Endothelial_stromal,90,RP11-688D15.2
HCC,0,Endothelial_stromal,91,AC124789.1
HCC,0,Endothelial_stromal,92,AC016722.3
HCC,0,Endothelial_stromal,93,RP11-776F5.1
HCC,0,Endothelial_stromal,94,H2AP
HCC,0,Endothelial_stromal,95,RP11-495L18.2
HCC,0,Endothelial_stromal,96,COX7A1
HCC,0,Endothelial_stromal,97,AC000067.1
HCC,0,Endothelial_stromal,98,RP11-798G7.6
HCC,0,Endothelial_stromal,99,RNA5SP280
HCC,0,Endothelial_stromal,100,SOX7
HCC,0,Endothelial_stromal,101,F2RL3
HCC,0,Endothelial_stromal,102,LINC00454
HCC,0,Endothelial_stromal,103,MIR575
HCC,0,Endothelial_stromal,104,BTF3P14
HCC,0,Endothelial_stromal,105,ADAMTS1
HCC,0,Endothelial_stromal,106,SNORD113-9
HCC,0,Endothelial_stromal,107,RP11-667K14.14
HCC,0,Endothelial_stromal,108,RP11-676J12.9
HCC,0,Endothelial_stromal,109,RP11-616M22.1
HCC,0,Endothelial_stromal,110,RP11-59O2.1
HCC,0,Endothelial_stromal,111,AC133633.2
HCC,0,Endothelial_stromal,112,GJA1
HCC,0,Endothelial_stromal,113,RP11-728C8.2
HCC,0,Endothelial_stromal,114,RNU6-591P
